url,title,created_date,last_comment,num_comments
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198118,New to Machine Learning or Kaggle?,2020-11-20 06:20:37,2020-12-13 15:22:03,16
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198117,Looking for a Team Thread,2020-11-20 06:17:53,2020-12-11 12:52:27,73
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202017,"if you are not getting lb 0.901 and above, here is why",2020-12-08 06:36:10,2020-12-13 21:29:17,54
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202673,More noisy samples,2020-12-11 19:07:36,2020-12-13 08:34:56,8
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202351,8 techniques to experiment for improvement the model performance,2020-12-10 00:01:48,2020-12-13 00:09:07,9
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202943,Class distribution in public test set (public LB),2020-12-13 05:12:30,2020-12-13 16:32:24,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202485,How To: Reuse Previous Competition Code On New Competition,2020-12-10 18:20:35,2020-12-12 17:12:59,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202581,Deep Learning on Controlled Noisy Labels,2020-12-11 06:32:36,2020-12-13 16:38:41,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202652,Pytorch vs Keras?,2020-12-11 17:10:18,2020-12-13 17:41:32,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202720,EfficicentNet Input Size / Keras Question,2020-12-12 00:21:37,2020-12-12 08:27:03,5
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202857,Pretrained Model weights for inference [Keras],2020-12-12 20:11:09,2020-12-12 20:11:09,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202247,Key Classes in this Competition,2020-12-09 13:30:37,2020-12-10 05:10:33,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202560,Create Target for Mosaic Augmentation?,2020-12-11 03:57:35,2020-12-12 05:34:33,6
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202304,[TF.Keras]: Advanced Augmentations in Sequence Generator,2020-12-09 19:23:10,2020-12-11 17:39:40,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202292,What's yours GPU Usage?,2020-12-09 18:24:19,2020-12-11 20:23:42,10
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202837,What about the noise in the private test data???,2020-12-12 17:23:42,2020-12-13 15:12:01,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202206,Why we have a noisy dataset (CutMix vs MixUp),2020-12-09 08:26:48,2020-12-10 16:27:11,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202997,How to submit predictions,2020-12-13 15:23:48,2020-12-13 17:33:58,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202333,Things I've tried with FastAI till now,2020-12-09 22:32:19,2020-12-12 06:31:49,17
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202946,Getting LB score of 0.048 even after using everything to the best of my knowledge.,2020-12-13 05:36:30,2020-12-13 20:45:10,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202627,Aug to try: SnapMix,2020-12-11 13:45:31,2020-12-11 17:41:40,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202764,Does anyone have a sense of the score of the labels?,2020-12-12 06:47:13,2020-12-12 06:47:13,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202466,Can we Write a Blog and Publish it for this competition ?,2020-12-10 15:28:36,2020-12-11 06:27:20,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200726,What did/did not work for me so far?,2020-12-02 00:54:30,2020-12-09 08:16:06,35
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201699,Rethinking CV Strategy : StratifiedGroup-Kfold,2020-12-06 18:35:18,2020-12-09 17:25:08,7
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202427,Kaggle competition fairness,2020-12-10 09:19:10,2020-12-11 05:39:22,8
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202322,Canceling a submission,2020-12-09 21:52:41,2020-12-10 22:31:39,10
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202759,My updated questions,2020-12-12 06:11:21,2020-12-13 05:36:28,7
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202651,Create TF Record + Stratified Sampling,2020-12-11 17:07:50,2020-12-11 17:07:50,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202826,How to best ensemble tf models?,2020-12-12 16:23:57,2020-12-12 16:23:57,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201601,Vision Transformer(ViT) - Visualize Attention Map,2020-12-06 03:21:46,2020-12-09 03:15:48,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201025,How to keep track of Experiments?,2020-12-03 05:23:48,2020-12-09 05:31:25,26
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201977,Ninja Techniques To Make Most Out of Google Cloud TPUs !,2020-12-08 01:31:24,2020-12-08 13:03:59,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200141,[completed] starter kit ....based on 2019 kaggle cassava challenge,2020-11-29 12:43:28,2020-12-12 00:03:30,6
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201567,Image Augmentation or any sprinkle of magic?,2020-12-06 01:03:57,2020-12-09 02:23:33,24
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202708,External data size limit?,2020-12-11 22:52:27,2020-12-11 22:52:27,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202580,Augmentation on Validation Images,2020-12-11 06:22:50,2020-12-12 05:08:31,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201911,(Cross-)validation strategy for this competition,2020-12-07 17:15:26,2020-12-07 22:53:59,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198143,Cassava Lead Diseases: Overview,2020-11-20 09:02:42,2020-12-13 07:53:11,8
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201847,Please add an accurate running time for submission,2020-12-07 13:21:33,2020-12-07 16:54:34,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200722,Cassava Dataset V2,2020-12-02 00:32:31,2020-12-06 13:47:57,28
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198241,"[11/26 Updated] Pytorch Baseline Starter (Val: 0.932, Public LB: 0.900)",2020-11-20 20:10:22,2020-12-13 15:41:41,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202166,Some questions of beginner,2020-12-09 02:39:24,2020-12-09 07:55:11,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202468,Timing Out of Notebook During Training,2020-12-10 15:40:05,2020-12-11 13:19:35,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201917,Can I upload model trained locally to submit?,2020-12-07 18:11:31,2020-12-08 14:39:10,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199119,"TensorFlow , TPU Notebooks in Casava Competition -- All in one place",2020-11-24 22:41:45,2020-12-10 02:05:35,32
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199131,Merged(2019 && 2020)-Duplicates removed TFrecords - 512 x 512,2020-11-25 00:07:08,2020-12-11 06:20:44,12
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201293,Help with Submission Scoring Error,2020-12-04 11:55:36,2020-12-13 02:23:38,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198219,CV vs LB..,2020-11-20 18:34:07,2020-12-12 09:02:35,40
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201704,TPU Usage extremely low,2020-12-06 19:30:41,2020-12-10 20:17:57,12
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199276,[place holder] let's try something new ... vision transformer,2020-11-25 15:20:05,2020-12-07 20:58:44,40
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201950,How long does it take to submit prediction?,2020-12-07 22:20:43,2020-12-09 02:12:29,9
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201764,Normalizing dataset!,2020-12-07 02:10:24,2020-12-10 03:43:07,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201843,Notebook Timeout Error,2020-12-07 12:43:56,2020-12-10 15:02:07,8
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200201,Merged JPEG Dataset [Duplicates Removed],2020-11-29 21:04:08,2020-12-07 19:05:03,16
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201990,Question regarding tensorflow datasets and the map function,2020-12-08 03:05:05,2020-12-08 22:31:06,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201471,Noise in train and private test sets,2020-12-05 16:03:52,2020-12-09 13:21:30,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201570,Basic question: how to use pretrained models?,2020-12-06 01:11:22,2020-12-08 03:25:26,9
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202223,Will the sample_submission.csv update during the actual private evaluation stage?,2020-12-09 10:05:01,2020-12-10 02:15:32,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201515,What machine are you using and how long per epoch?,2020-12-05 21:04:38,2020-12-09 00:26:34,6
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201702,Tips to iterate quickly,2020-12-06 19:17:04,2020-12-10 00:05:45,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200211,Vision Transformer Notebook for Beginners,2020-11-29 22:08:07,2020-12-07 13:00:28,13
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201620,What is the competition metric?,2020-12-06 05:00:19,2020-12-09 21:14:27,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201709,Timm or Pretrainedmodels,2020-12-06 20:05:52,2020-12-07 10:45:09,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202080,How to use pre-trained data without internet,2020-12-08 17:03:52,2020-12-09 03:24:06,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198738,Using Git repositories without internet,2020-11-23 05:09:43,2020-12-10 19:55:51,13
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201955,Submission Error,2020-12-07 22:46:05,2020-12-08 03:05:20,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198647,submission failed,2020-11-22 17:28:09,2020-12-13 13:36:40,13
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201404,Batch Normalization after or before Activation function?,2020-12-05 04:05:05,2020-12-07 05:38:24,6
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/202117,Learning with noise label?,2020-12-08 21:36:06,2020-12-08 23:30:20,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200920,Valid set and LeaderBoard scores are much diff,2020-12-02 21:01:29,2020-12-08 18:03:47,8
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201538,Some doubts regarding submission,2020-12-05 22:41:23,2020-12-06 15:55:48,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201705,Submission is taking a long time to process,2020-12-06 19:35:42,2020-12-06 23:40:35,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200828,1 Year into ML and still asking noob questions,2020-12-02 12:14:15,2020-12-04 03:00:33,7
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201967,why only 1 image for testing?,2020-12-07 23:46:15,2020-12-08 01:52:23,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201186,Improve VisionTransformer Baseline [over 0.89] with Out-of-box APIs,2020-12-04 00:37:05,2020-12-04 01:35:45,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201473,Submission is taking a long time to process,2020-12-05 16:13:01,2020-12-06 07:37:55,11
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201552,OCD on Seeding: Deviations of results in different environments after Seeding.,2020-12-05 23:53:37,2020-12-07 02:43:52,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200803,Upcoming rescore [complete],2020-12-02 08:51:33,2020-12-03 01:41:23,14
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201775,Error while submission,2020-12-07 03:56:12,2020-12-07 22:55:43,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201528,Data Not Available? Issue with Kaggle API?,2020-12-05 22:12:01,2020-12-06 09:39:42,5
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200746,LeafGAN was released!,2020-12-02 02:18:18,2020-12-02 19:39:05,7
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199414,Update to tfrecords,2020-11-26 01:42:30,2020-12-08 11:17:15,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198299,How to download full dataset on Colab?,2020-11-21 00:52:58,2020-12-12 11:17:54,9
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201213,Augmentation only on the minority class.,2020-12-04 02:56:42,2020-12-04 19:42:04,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201614,Setup Dataset using Kaggle API (Colab/Local Machine Solution),2020-12-06 04:33:22,2020-12-06 04:53:21,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199692,🌿 ☘️ 🍀 Deep Learning + Plant Disease Classification Research Papers - Compilation,2020-11-27 05:34:15,2020-12-05 15:53:22,10
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200886,"Please , release the removed images for all participants",2020-12-02 18:42:51,2020-12-03 02:30:20,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201513,where will be the output of the notebook!?,2020-12-05 20:58:09,2020-12-07 00:27:21,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199606,What do you think about the quality of the labeling (or how many errors are in labels)?,2020-11-26 21:17:34,2020-12-03 11:26:15,22
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201514,[Error-404] Kaggle API,2020-12-05 21:00:23,2020-12-06 04:35:10,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200855,Synthetic Minority Oversampling Technique (SMOTE),2020-12-02 15:01:23,2020-12-04 22:46:51,8
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201418,"Kaggle bug - the notebooks have wrong ""best score""",2020-12-05 06:51:50,2020-12-05 06:51:50,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199903,Using GANs for data augmentation,2020-11-28 07:11:49,2020-12-04 01:54:45,15
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198744,Stratified TFRecords datasets,2020-11-23 05:32:24,2020-12-07 08:09:00,11
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200696,Loss Functions for Multiclass imbalanced data,2020-12-01 22:25:13,2020-12-03 23:41:58,7
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198788,How much time does it take for the submission to show result in a very simple model.,2020-11-23 12:48:20,2020-12-13 05:35:02,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201251,My Understanding related to a TTA (Test Time Augmentation),2020-12-04 05:18:53,2020-12-04 08:42:52,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201320,can i use some way of lossless image compression ?,2020-12-04 16:56:31,2020-12-04 20:53:21,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201031,label_num_to_disease_map.json,2020-12-03 07:18:28,2020-12-04 10:35:56,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201306,How to make a first successful submission when you know a little bit of Python,2020-12-04 14:04:45,2020-12-04 14:04:45,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201439,Is there one test image?,2020-12-05 12:15:25,2020-12-05 15:39:58,1
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200412,Some Insights about the Data,2020-11-30 20:59:43,2020-12-01 13:04:21,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201209,Good To Know Facts,2020-12-04 02:34:56,2020-12-04 17:45:23,10
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200854,Data not found ? in data explorer,2020-12-02 15:00:44,2020-12-05 14:14:46,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201278,Any idea why it is taking like 30 mins to just run first epoch,2020-12-04 10:06:56,2020-12-05 18:00:57,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199902,External data: Mendeley Leaves,2020-11-28 06:53:13,2020-12-01 06:41:10,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201052,Did something change with the leaderboard?,2020-12-03 08:43:40,2020-12-03 10:38:03,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201166,Download the dataset on google Colab,2020-12-03 22:28:09,2020-12-03 22:51:15,2
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/201155,Classwise probability threshold calibration?,2020-12-03 21:21:50,2020-12-03 21:21:50,0
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200807,CenterCrop + Resize on validation dataset,2020-12-02 09:20:12,2020-12-02 11:56:49,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200952,How to properly pick the test fold in k-fold validation?,2020-12-02 23:00:14,2020-12-04 00:30:07,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200460,A way to scrape more data from google,2020-12-01 02:03:19,2020-12-01 23:51:34,3
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/199786,Pseudo-Labelling Improved My LB,2020-11-27 19:03:50,2020-12-01 02:43:36,22
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198122,Great to see a competition from and for Africa,2020-11-20 06:41:26,2020-12-03 07:50:32,4
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/198135,Competition Metric,2020-11-20 08:01:20,2020-12-01 05:54:12,36
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200901,erroneous labeling,2020-12-02 19:38:45,2020-12-03 17:03:47,5
https://www.kaggle.com/c/cassava-leaf-disease-classification/discussion/200308,Newbie Questions using Pretrained model with Internet Off?,2020-11-30 07:40:17,2020-12-02 23:49:37,8
